frameno,left,top,right,bottom
1,563.69,451.26,571.4,461.26
2,563.55,452.51,571.26,462.51
3,563.41,453.76,571.12,463.76
4,563.26,455.01,570.98,465.01
5,563.12,456.26,570.84,466.26
6,562.98,457.51,570.7,467.51
7,562.84,458.76,570.55,468.76
8,562.7,460.01,570.41,470.0
9,562.56,461.26,570.27,471.25
10,562.42,462.51,570.13,472.5
11,562.28,463.76,569.99,473.75
12,562.21,465.18,569.92,475.18
13,562.14,466.6,569.86,476.6
14,562.08,468.03,569.79,478.02
15,562.01,469.45,569.73,479.45
16,561.95,470.87,569.66,480.87
17,561.88,472.3,569.6,482.29
18,561.82,473.72,569.53,483.71
19,561.75,475.14,569.47,485.14
20,561.69,476.57,569.4,486.56
21,561.62,477.99,569.34,487.98
22,561.93,479.47,569.64,489.46
23,562.23,480.94,569.95,490.94
24,562.54,482.42,570.25,492.42
25,562.84,483.9,570.55,493.89
26,563.14,485.38,570.86,495.37
27,563.45,486.85,571.16,496.85
28,563.75,488.33,571.47,498.33
29,564.06,489.81,571.77,499.8
30,564.36,491.29,572.07,501.28
31,564.67,492.76,572.38,502.76
32,565.1,494.21,572.81,504.2
33,565.53,495.65,573.25,505.65
34,565.97,497.1,573.68,507.09
35,566.4,498.54,574.12,508.54
36,566.84,499.99,574.55,509.98
37,567.27,501.43,574.99,511.43
38,567.71,502.88,575.42,512.87
39,568.14,504.32,575.86,514.32
40,568.58,505.77,576.29,515.76
41,569.01,507.21,576.72,517.21
42,569.58,508.74,577.3,518.73
43,570.15,510.26,577.87,520.26
44,570.72,511.79,578.44,521.78
45,571.3,513.31,579.01,523.3
46,571.87,514.83,579.58,524.83
47,572.44,516.36,580.15,526.35
48,573.01,517.88,580.72,527.87
49,573.58,519.4,581.29,529.4
50,574.15,520.93,581.87,530.92
51,574.72,522.45,582.44,532.44
52,575.47,524.07,583.18,534.06
53,576.22,525.69,583.93,535.68
54,576.96,527.31,584.67,537.3
55,577.71,528.92,585.42,538.92
56,578.45,530.54,586.17,540.54
57,579.2,532.16,586.91,542.16
58,579.94,533.78,587.66,543.77
59,580.69,535.4,588.4,545.39
60,581.44,537.02,589.15,547.01
61,582.18,538.64,589.9,548.63
62,582.48,540.28,590.5,550.53
63,583.86,541.06,592.19,551.57
64,584.12,543.54,592.76,554.3
65,584.19,544.12,593.13,555.13
66,867.3,108.02,879.47,119.29
67,868.4,110.41,880.29,121.93
68,869.5,112.79,881.12,124.57
69,870.6,115.17,881.95,127.21
70,871.7,117.56,882.77,129.85
71,872.8,119.94,883.6,132.49
72,873.58,122.3,884.38,134.85
73,874.36,124.66,885.16,137.21
74,875.14,127.02,885.94,139.57
75,875.92,129.38,886.72,141.92
76,876.7,131.73,887.5,144.28
77,877.48,134.09,888.28,146.64
78,878.26,136.45,889.06,149.0
79,879.04,138.81,889.84,151.36
80,879.82,141.17,890.62,153.72
81,880.6,143.53,891.4,156.08
82,881.71,146.21,892.51,158.76
83,882.81,148.89,893.61,161.44
84,883.91,151.57,894.71,164.12
85,885.02,154.25,895.82,166.8
86,886.12,156.93,896.92,169.48
87,887.22,159.61,898.02,172.16
88,888.32,162.29,899.12,174.84
89,889.43,164.97,900.23,177.52
90,890.53,167.66,901.33,180.2
91,891.63,170.34,902.43,182.88
92,892.77,173.17,903.57,185.72
93,893.91,176.0,904.71,188.55
94,895.04,178.84,905.84,191.38
95,896.18,181.67,906.98,194.22
96,897.32,184.5,908.12,197.05
97,898.45,187.34,909.25,199.89
98,899.59,190.17,910.39,202.72
99,900.73,193.01,911.53,205.55
100,901.87,195.84,912.67,208.39
101,903.0,198.67,913.8,211.22
102,904.18,201.74,915.24,214.35
